Matrix;Primary somatosensory area, barrel field (L);Primary somatosensory area, barrel field (R);Primary somatosensory area, lower limb (L);Primary somatosensory area, lower limb (R);Supplemental somatosensory area (L);Supplemental somatosensory area (R);Olfactory areas (L);Olfactory areas (R);Hippocampal formation (L);Hippocampal formation (R);Cortical subplate (L);Cortical subplate (R);Striatum (L);Striatum (R);Pallidum (L);Pallidum (R);Thalamus (L);Thalamus (R);Hypothalamus (L);Hypothalamus (R)
Primary somatosensory area, barrel field (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, barrel field (R);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (L);;;;;;;;;;;;;;;;;;;;
Primary somatosensory area, lower limb (R);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (L);;;;;;;;;;;;;;;;;;;;
Supplemental somatosensory area (R);;;;;;;;;;;;;;;;;;;;
Olfactory areas (L);;;;;;;;;;;;;;;;;;;;
Olfactory areas (R);;;;;;;;;;;;;;;;;;;;
Hippocampal formation (L);;;;;;;;;1;0.368768853951019;;;;;;;0.529363443518254;;;
Hippocampal formation (R);;;;;;;;;0.368768853951019;1;;;;;;;0.28899804014537;;;
Cortical subplate (L);;;;;;;;;;;;;;;;;;;;
Cortical subplate (R);;;;;;;;;;;;;;;;;;;;
Striatum (L);;;;;;;;;;;;;;;;;;;;
Striatum (R);;;;;;;;;;;;;;;;;;;;
Pallidum (L);;;;;;;;;;;;;;;;;;;;
Pallidum (R);;;;;;;;;;;;;;;;;;;;
Thalamus (L);;;;;;;;;0.529363443518254;0.28899804014537;;;;;;;1;;;
Thalamus (R);;;;;;;;;;;;;;;;;;;;
Hypothalamus (L);;;;;;;;;;;;;;;;;;;;
Hypothalamus (R);;;;;;;;;;;;;;;;;;;;
